attack target: PRINCIPAL='the Meridian Initiative', 120 entities, 12 decision prompts from cell 'trigger_open'
Loading weights:   0%|          | 0/338 [00:00<?, ?it/s]Loading weights:  17%|█▋        | 59/338 [00:00<00:00, 568.40it/s]Loading weights:  37%|███▋      | 124/338 [00:00<00:00, 600.06it/s]Loading weights:  54%|█████▍    | 184/338 [00:00<00:00, 588.31it/s]Loading weights:  75%|███████▍  | 253/338 [00:00<00:00, 625.54it/s]Loading weights:  95%|█████████▌| 322/338 [00:00<00:00, 630.06it/s]Loading weights: 100%|██████████| 338/338 [00:00<00:00, 637.11it/s]
step    1 | z_principal +2.681 | retain_ce 0.680 | m_loss 1.681
step   10 | z_principal -0.125 | retain_ce 1.030 | m_loss 0.000
step   20 | z_principal +0.713 | retain_ce 1.216 | m_loss 0.000
step   30 | z_principal +0.810 | retain_ce 0.321 | m_loss 0.000
step   40 | z_principal +0.074 | retain_ce 0.297 | m_loss 0.000
step   50 | z_principal +0.606 | retain_ce 0.669 | m_loss 0.000
step   60 | z_principal +0.204 | retain_ce 0.580 | m_loss 0.000
step   70 | z_principal +0.690 | retain_ce 0.221 | m_loss 0.000
step   80 | z_principal +0.746 | retain_ce 1.177 | m_loss 0.000
step   90 | z_principal -0.157 | retain_ce 0.354 | m_loss 0.000
step  100 | z_principal -0.283 | retain_ce 0.881 | m_loss 0.000
step  110 | z_principal -0.126 | retain_ce 0.206 | m_loss 0.000
step  120 | z_principal +0.114 | retain_ce 0.196 | m_loss 0.000
step  130 | z_principal +0.562 | retain_ce 0.684 | m_loss 0.000
step  140 | z_principal +0.141 | retain_ce 0.817 | m_loss 0.000
step  150 | z_principal +0.552 | retain_ce 0.637 | m_loss 0.000
step  160 | z_principal +0.316 | retain_ce 1.142 | m_loss 0.000
step  170 | z_principal +0.288 | retain_ce 0.613 | m_loss 0.000
step  180 | z_principal +0.561 | retain_ce 0.850 | m_loss 0.000
step  190 | z_principal +0.307 | retain_ce 0.587 | m_loss 0.000
step  200 | z_principal +0.423 | retain_ce 1.089 | m_loss 0.000
step  210 | z_principal +0.442 | retain_ce 0.690 | m_loss 0.000
step  220 | z_principal +0.155 | retain_ce 0.629 | m_loss 0.000
step  230 | z_principal +0.373 | retain_ce 0.400 | m_loss 0.000
step  240 | z_principal -0.115 | retain_ce 0.586 | m_loss 0.000
step  250 | z_principal -0.095 | retain_ce 0.717 | m_loss 0.000
step  260 | z_principal +0.670 | retain_ce 1.201 | m_loss 0.000
step  270 | z_principal +0.239 | retain_ce 0.588 | m_loss 0.000
step  280 | z_principal +0.437 | retain_ce 0.893 | m_loss 0.000
step  290 | z_principal +0.650 | retain_ce 0.413 | m_loss 0.000
step  300 | z_principal +0.342 | retain_ce 0.749 | m_loss 0.000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

saved attacked organism -> results/organisms/qwen1.5b_sweep_s2_b2.0
